,Genus,Species,Pathovar,Strain,LIN,Genome_ID
0,Pseudomonas,syringae,pv_tomato,DC3000,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1
1,Pseudomonas,syringae,pv_actinidiae,ICMP_18708,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",97
2,Pseudomonas,syringae,pv_actinidiae,ICMP_18884,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1",98
3,Pseudomonas,syringae,No,GR12-2,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",99
4,Pseudomonas,syringae,pv_syringae,1845,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",100
5,Pseudomonas,syringae,pv_syringae,2507,"0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0",101
6,Pseudomonas,syringae,pv_syringae,MB03,"0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0",102
7,Pseudomonas,syringae,pv_syringae,2340,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0",103
8,Pseudomonas,syringae,pv_rhaphiolepidis,CFBP_4220,"0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0",104
9,Pseudomonas,syringae,pv_syringae,2339,"0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0",105
10,Pseudomonas,syringae,pv_syringae,HRI-W_7872,"0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0",106
11,Pseudomonas,syringae,pv_papulans,CFBP_1754,"0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0",107
12,Pseudomonas,syringae,pv_syringae,HRI-W_7924,"0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0",108
13,Pseudomonas,syringae,pv_cerasicola,CFBP_6109,"0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0",109
14,Pseudomonas,syringae,pv_avii,CFBP_3846,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",110
15,Pseudomonas,syringae,pv_broussonetiae,CFBP_5140,"0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0",111
16,Pseudomonas,syringae,pv_castaneae,CFBP_4217,"0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0",112
17,Pseudomonas,syringae,pv_daphniphylli,CFBP_4219,"0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0",113
18,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8161,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0",114
19,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8180,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0",115
20,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8043,"0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0",116
21,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8160,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0",117
22,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8039,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0",118
23,Pseudomonas,syringae,pv_lapsa,ATCC_10859,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0",119
24,Pseudomonas,syringae,No,ICMP_11293,"0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0",120
25,Pseudomonas,syringae,pv_syringae,PD2774,"0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0",121
26,Pseudomonas,syringae,No,ICMP_13102,"0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0",122
27,Pseudomonas,syringae,pv_syringae,PD2766,"0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0",123
28,Pseudomonas,syringae,No,ICMP_19498,"0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0",124
29,Pseudomonas,syringae,No,ICMP_19499,"0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0",125
30,Pseudomonas,syringae,pv_actinidiae,ICMP_19497,"0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0",126
31,Pseudomonas,syringae,No,ICMP_11168,"0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0",127
32,Pseudomonas,syringae,No,ICMP_11292,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",128
33,Pseudomonas,syringae,pv_theae,ICMP_3923,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0",129
34,Pseudomonas,syringae,pv_actinidiae,ICMP_18883,"0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0",130
35,Pseudomonas,syringae,pv_actinidiae,ICMP_19100,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0",131
36,Pseudomonas,syringae,pv_actinidiae,ICMP_19102,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0",132
37,Pseudomonas,syringae,No,USA011,"0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0",133
38,Pseudomonas,syringae,pv_alisalensis,ICMP15200,"0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0",134
39,Pseudomonas,syringae,pv_aceris,ICMP2802,"0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0",135
40,Pseudomonas,syringae,pv_atrofaciens,ICMP4394,"0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0",136
41,Pseudomonas,syringae,pv_broussonetiae,ICMP13650,"0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0",137
42,Pseudomonas,syringae,pv_cerasicola,ICMP17524,"0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0",138
43,Pseudomonas,syringae,pv_castaneae,ICMP9419,"0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0",139
44,Pseudomonas,syringae,pv_cunninghamiae,ICMP11894,"0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0",140
45,Pseudomonas,syringae,pv_daphniphylli,ICMP9757,"0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0",141
46,Pseudomonas,syringae,pv_lapsa,ICMP3947,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0",142
47,Pseudomonas,syringae,pv_papulans,ICMP4048,"0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0",143
