,Genome ID,Genus,Species,Pathovar,Strain,LIN
0,1,Pseudomonas,syringae,pv. tomato,DC3000,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,97,Pseudomonas,syringae,pv._actinidiae,ICMP_18708,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
2,98,Pseudomonas,syringae,pv._actinidiae,ICMP_18884,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1"
3,99,Pseudomonas,syringae,No,GR12-2,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,100,Pseudomonas,syringae,pv._syringae,1845,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,101,Pseudomonas,syringae,pv._syringae,2507,"0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
6,102,Pseudomonas,syringae,pv._syringae,MB03,"0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0"
7,103,Pseudomonas,syringae,pv._syringae,2340,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,104,Pseudomonas,syringae,pv._rhaphiolepidis,CFBP_4220,"0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,105,Pseudomonas,syringae,pv._syringae,2339,"0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
10,106,Pseudomonas,syringae,pv._syringae,HRI-W_7872,"0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
11,107,Pseudomonas,syringae,pv._papulans,CFBP_1754,"0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,108,Pseudomonas,syringae,pv._syringae,HRI-W_7924,"0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0"
13,109,Pseudomonas,syringae,pv._cerasicola,CFBP_6109,"0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
14,110,Pseudomonas,syringae,pv._avii,CFBP_3846,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
15,111,Pseudomonas,syringae,pv._broussonetiae,CFBP_5140,"0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
16,112,Pseudomonas,syringae,pv._castaneae,CFBP_4217,"0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0"
17,113,Pseudomonas,syringae,pv._daphniphylli,CFBP_4219,"0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0"
18,114,Pseudomonas,syringae,pv._actinidifoliorum,CFBP8161,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
19,115,Pseudomonas,syringae,pv._actinidifoliorum,CFBP8180,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0"
20,116,Pseudomonas,syringae,pv._actinidifoliorum,CFBP8043,"0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0"
21,117,Pseudomonas,syringae,pv._actinidifoliorum,CFBP8160,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0"
22,118,Pseudomonas,syringae,pv._actinidifoliorum,CFBP8039,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0"
23,119,Pseudomonas,syringae,pv._lapsa,ATCC_10859,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
24,120,Pseudomonas,syringae,No,ICMP_11293,"0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0"
25,121,Pseudomonas,syringae,pv._syringae,PD2774,"0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0"
26,122,Pseudomonas,syringae,No,ICMP_13102,"0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0"
27,123,Pseudomonas,syringae,pv._syringae,PD2766,"0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
28,124,Pseudomonas,syringae,No,ICMP_19498,"0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0"
29,125,Pseudomonas,syringae,No,ICMP_19499,"0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0"
30,126,Pseudomonas,syringae,pv._actinidiae,ICMP_19497,"0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0"
31,127,Pseudomonas,syringae,No,ICMP_11168,"0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
