,Genus,Species,Pathovar,Strain,LIN,Genome_ID
1,Pseudomonas,syringae,pv_actinidiae,ICMP_18708,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0",97
2,Pseudomonas,syringae,pv_actinidiae,ICMP_18884,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1",98
132,Pseudomonas,syringae,pv_actinidiae,TP6-1,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2",228
124,Pseudomonas,syringae,pv_actinidiae,ICMP_18800,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0",220
130,Pseudomonas,syringae,pv_actinidiae,Shaanxi_M7,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0",226
131,Pseudomonas,syringae,pv_actinidiae,TP1,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0",227
145,Pseudomonas,syringae,pv_actinidiae,CH2010-6,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0",241
114,Pseudomonas,syringae,pv_actinidiae,ICMP_19097,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0",210
108,Pseudomonas,syringae,pv_actinidiae,ICMP_19101,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0",204
121,Pseudomonas,syringae,pv_actinidiae,ICMP_18801,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0",217
54,Pseudomonas,syringae,pv_actinidiae,ICMP_19455,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0",150
128,Pseudomonas,syringae,pv_actinidiae,ICMP_19439,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0",224
133,Pseudomonas,syringae,pv_actinidiae,ICMP_18744,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0",229
142,Pseudomonas,syringae,pv_actinidiae,CFBP_7286,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0",238
147,Pseudomonas,syringae,pv_actinidiae,CRAFRU8-43,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0",243
109,Pseudomonas,syringae,pv_actinidiae,ICMP_19079,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0",205
120,Pseudomonas,syringae,pv_actinidiae,ICMP_18886,"0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0",216
101,Pseudomonas,syringae,pv_actinidiae,Shaanxi_M228,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0",197
36,Pseudomonas,syringae,pv_actinidiae,ICMP_19102,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0",132
106,Pseudomonas,syringae,pv_actinidiae,ICMP_19103,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0",202
77,Pseudomonas,syringae,pv_actinidiae,ICMP_9617,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0",173
129,Pseudomonas,syringae,pv_actinidiae,ICMP_9853,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0",225
143,Pseudomonas,syringae,pv_actinidiae,KW41,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0",239
146,Pseudomonas,syringae,pv_actinidiae,NCPPB_3871,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0",242
148,Pseudomonas,syringae,pv_actinidiae,NCPPB_3739,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0",244
111,Pseudomonas,syringae,pv_actinidiae,ICMP_9855,"0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0",207
113,Pseudomonas,syringae,pv_actinidiae,ICMP_19068,"0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0",209
118,Pseudomonas,syringae,pv_actinidiae,ICMP_19104,"0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0",214
144,Pseudomonas,syringae,pv_actinidiae,PA459,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0",240
154,Pseudomonas,syringae,pv_actinidiae,M302091,"0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0",250
112,Pseudomonas,syringae,pv_actinidiae,ICMP_19070,"0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0",208
60,Pseudomonas,syringae,pv_actinidiae,MAFF_212056,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0",156
104,Pseudomonas,syringae,pv_actinidiae,ICMP_19071,"0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0",200
119,Pseudomonas,syringae,pv_actinidiae,ICMP_19072,"0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0",215
105,Pseudomonas,syringae,pv_actinidiae,ICMP_19073,"0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0",201
33,Pseudomonas,syringae,pv_theae,ICMP_3923,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0",129
52,Pseudomonas,syringae,pv_theae,ICMP3923,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0",148
103,Pseudomonas,syringae,pv_theae,NCPPB_2598,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0",199
141,Pseudomonas,syringae,pv_theae,NCPPB_2598,"0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0",237
18,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8161,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0",114
19,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8180,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0",115
35,Pseudomonas,syringae,pv_actinidiae,ICMP_19100,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0",131
117,Pseudomonas,syringae,pv_actinidiae,ICMP_19099,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0",213
125,Pseudomonas,syringae,pv_actinidiae,ICMP_18804,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0",221
126,Pseudomonas,syringae,No,ICMP_18806,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0",222
30,Pseudomonas,syringae,pv_actinidiae,ICMP_19497,"0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0",126
34,Pseudomonas,syringae,pv_actinidiae,ICMP_18883,"0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0",130
107,Pseudomonas,syringae,pv_actinidiae,ICMP_19098,"0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0",203
115,Pseudomonas,syringae,pv_actinidiae,ICMP_19094,"0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0",211
116,Pseudomonas,syringae,pv_actinidiae,ICMP_19095,"0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0",212
67,Pseudomonas,syringae,pv_actinidiae,ICMP_19096,"0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0",163
68,Pseudomonas,syringae,pv_actinidiae,ICMP_18804,"0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0",164
20,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8043,"0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0",116
21,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8160,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0",117
22,Pseudomonas,syringae,pv_actinidifoliorum,CFBP8039,"0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0",118
110,Pseudomonas,syringae,pv_actinidiae,ICMP_18807,"0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0",206
127,Pseudomonas,syringae,pv_actinidiae,ICMP_18807,"0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0",223
